film,prod_team,dir_team,director,camera_team,prod_manage_team,depth,download_timeout,download_slot,download_latency,year,country
Broken Arrow,Peter Levy,"Carla Allen,Kevin Bartnof,Bob Beemer,Bill W. Benton,Christopher Boyes,Fred Burke,Rick Canelli,Alessandra Carlino,Chris Carpenter,Midge Costin,Teri E. Dorman,Juno J. Ellis,John P. Fasal,Marva Fucci,Gary Gegan,Thomas Giordano,Eric Gotthelf,Ron Grafton,Robin Harlan,Matthew Harrison,Doug Hemphill,Denise Horta,Frank Howard,Rick Howe,Chris Ingram,Suhail Kafity,Andy Kopetzky,James Likowski,Victoria Martin,F. Hudson Miller,Michael Mirkovich,Sarah Monat,Peggy Names,Thomas J. O'Connell,Maggie Ostroff,David M. Ronne,Catherine Rowe,Earl Sampson,Christopher C. Schiavo,Denis St. Amand,Greg Thompson,George Watters II,Jay Wilkinson,Jeffrey A. Williams,Gary Wright,Jennifer Phillips",John Woo,"Marsha Barton,Mellissa Berry,Ed Fincher,Jorge J. González,Barry Kellogg,Dan Moore,Debbie Travis,Mark J. Weitzman,Damien Quinn",,3,180.0,13.33.87.143,0.1242983341217041,5 February 1996,"USA,USA,Germany,Turkey,Belgium,France,Switzerland,Poland,Sweden,Japan,Finland,Greece,Spain,Australia,Italy,Netherlands,Brazil,UK,Ireland,Norway,Argentina,Hungary,Hong Kong,Portugal,Denmark,South Korea,Philippines,Portugal"
The War of the Roses,Stephen H. Burum,"Christopher E. Bennett,Bill W. Benton,John Brilhante,Clayton Collins,Don Coufal,Valerie Davidson,John Duvall,Gary Gegan,Sarah Goldsmith,Laura Graham,Douglas Greenfield,Hilda Hodges,Matthew Iadarola,John Keating,Kerie Kimbrell,Michael J. Kohut,Elliott Koretz,Michael Magill,Randy McDonald,Chuck Michael,Jeanine Schaack,Dan Sharp,Leslie Shatz,Rachel Shaw,Mary Ann Skweres,Alicia Stevenson,David E. Stone,Renee Tondelli,Jennifer L. Ware,Jeff Wexler,Marian Wilde,Marty Church,Bill Rojas,Renee Tondelli",Danny DeVito,"Oda Groeschel,Janis Mekaelian,G. Tony Scarano",,3,180.0,13.33.87.143,0.6040658950805664,4 December 1989,"USA,USA,USA,Australia,Peru,Taiwan,Argentina,West Germany,France,Greece,UK,Sweden,Brazil,Spain,Ireland,Netherlands,Denmark,Portugal,Finland,Hungary,Japan,Philippines,Turkey,South Korea"
Arachnophobia,Mikael Salomon,"Jane Alden,James Ashwill,Ed Bannon,Kevin Bartnof,Ellen Blain,Steve Borne,Cathy Cavadini,Judi M. Durand,Mary Erstad,Bruce Foster,Richard Friedman,Chasen Hampton,William Hartman,Doris Hess,Hilda Hodges,Larry Hopkins,David J. Hudson,Allen Hurd,Dave Ice,Robert Jackson,Ronald Jackson,Roxanne Jones,Ron Judkins,R.J. Kizer,Rocky Krakoff,Jimmy Ling,Christina MacGregor,Tom C. McCarthy,Randy McDonald,Ryan McWhorter,Mel Metcalfe,Terry Porter,David Randolph,Gary Schwartz,La Gloria Scott,Tanya Sharp David,Don S. Walden,Christopher T. Welch,David Williams,Destiny Borden,Oscar Mitt",Frank Marshall,"Elaine Maser,David S. Powell",,3,180.0,13.33.87.143,0.18573498725891113,18 July 1990,"USA,Argentina,Netherlands,Australia,UK,Ireland,Germany,Finland,Colombia,Denmark,Spain,Portugal,Hungary,Sweden,Turkey,Brazil,Japan,France,Greece"
Michael Collins,Elliot Goldenthal,"Terry Apsey,Martin Asbury,David Balfour,Ken Barley,Triona Coen,Mike Deegan,Jim Dunleavy,Tommy Dunne,Monica Frawley,Paul Hedges,Mick Kearns,Michael King,John Lanzer,Adrienne Michel-Long,John Neligan,John New,Ron Newvell,Mike Nugent,William O'Brien,Jimmy O'Meara,Laurence O'Toole,Samantha Plaisted,Simon Redmond,Mairead Sandford,Justin Scoppa Jr.,Emma Scott,Ken Stachini,Adrian Start,Ron von Blomberg,Derek Wallace,John Wells,June Connon,Alan Gilmore,Frank Matthews,Shane McEnroe,Gary McGinty",Neil Jordan,"Jill Dempsey,Romany Turner,Gillian Reynolds",,3,180.0,13.33.87.143,0.10509896278381348,28 August 1996,"Italy,Canada,USA,USA,Canada,USA,UK,Ireland,New Zealand,Italy,Australia,Denmark,Norway,South Korea,Spain,Portugal,Finland,South Africa,Poland,Sweden,Estonia,Czech Republic,Turkey,Japan,Singapore,Slovenia,Netherlands,Germany,Hungary,Austria,Argentina,France,Brazil,France,Greece,Australia"
Singles,"Tak Fujimoto,Ueli Steiger","Barbara Barnaby,Pamela Bentkowski,Ed Callahan,Catherine Calleson,Christine Danelski,Jay Dranch,Ann Ducommun,Christopher Flick,Sukey Fontelieu,Cynthia Haagens,Ellen Heuer,Michael Jiron,Richard King,Dave Kulczycki,Cliff Latimer,Robert J. Litt,Melissa Lytle,Michael Magill,Art Rochester,Joan Rowe,Greg P. Russell,Douglas J. Schulman,Craig Weintraub,David Behle",Cameron Crowe,"Donah Bassett,Craig Conwell,Tommy Dorsett,Bob Putynkowski,Curt Schulkey",,3,180.0,13.33.87.143,0.12728309631347656,18 September 1992,"USA,Peru,Sweden,UK,Brazil,Argentina,Japan,Germany,Finland,France,Denmark,Netherlands,Australia,Portugal,Hungary,Turkey,Spain,Greece"
Baby's Day Out,Thomas E. Ackerman,"Sandina Bailo-Lape,Tom Barwick,Sara Bolder,Christopher Boyes,Lindakay Brown,Lisa Chino,Teresa Eckton,Andre Fenley,Ken Fischer,J.R. Grubbs,Ruth Hasty,Richard Hymns,Robert Jackson,Donna Jaffe,Ron Judkins,Kevin Rose-Williams,Gary Rydstrom,Michael Silvers,Lisa Anne Storer,Gary Summers,Dennie Thorpe,Pam Uzzell,Ethan Van der Ryn,Jana Vance,Maia Veres,Hugh Waddell,Gwendolyn Yates Whittle,Cory Coken,Sean England,Samuel H. Hinckley,Steve Kraus,Ronald G. Roumas",Patrick Read Johnson,"Susanna Griffith,Barbara Harris,Regina Prokop,Barbara L. Roche,Dan Shaner",,3,180.0,13.33.87.143,0.1851949691772461,  1994,"Russia,USA,South Korea,UK,Ireland,Spain,Portugal,Philippines,Germany,Netherlands,Sweden,France,Estonia,Colombia,Hungary,Australia,Denmark,Romania,Argentina,Brazil,Finland,Poland,Japan"
The Lover,Gabriel Yared,"Eric Bourges,Jean-René Coulon,Mat Troi Day,Sophie Martel,Christian Portal,Maxime Rebière",Jean-Jacques Annaud,Jean-Daniel Vuillermoz,,3,180.0,13.33.87.143,0.16524195671081543,22 January 1992,"France,Belgium,Turkey,Germany,Spain,Netherlands,Japan,Portugal,UK,South Korea,Denmark,Argentina,Ireland,Finland,Hungary,Sweden,Uruguay,USA,Brazil,Australia,Russia,Hong Kong"
"The Cook, the Thief, His Wife & Her Lover",Michael Nyman,"Jonathan Agnew,Michael Bleasdale,Bas Boone,John Bramble,Michael Calin,Paul Connell,Anthony Costin,Michel De Graaf,Wieger De Jong,Constance de Vos,Sophie Fiennes,Steve Hall,Paul Harrison,Daniel Harvey,Charley Hayward,Michael Howells,Lidewij Kapteijn,Alexander Kasterine,Maarten Piersma,Claudia Valentijn,Wilbert Van Dorp,Dory van Noort,Ank Van Straalen,Coen Verbeek,Paul Wilkins,Nigel Worlidge",Peter Greenaway,"Karen Lindsay-Stewart,Ineke de Vos",,3,180.0,13.33.87.143,0.17047381401062012,4 September 1989,"Italy,Canada,Spain,UK,France,Belgium,Greece,West Germany,Netherlands,Italy,Portugal,Australia,Portugal,USA,Denmark,Argentina,Sweden,Japan,Hong Kong,Canada,Taiwan,Hungary,Finland,Iceland,Peru,Turkey,Greece,Portugal,Sweden,Peru,Italy"
To Die For,Eric Alan Edwards,"Peter Appleton,Kelley Baker,Mary Bauer,Denis Bellingham,David A. Cohen,Robert Fernandez,J. Paul Huntsman,Bill Jackson,Owen Langevin,Parker Logan,Jennifer Myers,David Parker,Philip Rogers,Michael Semanick,Burton Sharp,Concha Solano,Jim Thompson,Michael Barnitt,Bruce Lacey,Linda Lew,Rob Whitehurst,Patrick Winters",Gus Van Sant,"Kim W. Chow,Nail Rockett,Delphine White,Alexis Scott",,3,180.0,13.33.87.143,0.17189311981201172,20 May 1995,"France,Canada,Italy,Canada,USA,USA,Spain,UK,Ireland,Argentina,Portugal,France,Germany,Greece,Denmark,Finland,Sweden,Netherlands,South Korea,Australia,Turkey,Hong Kong,Brazil,Poland,Japan,Hungary,France"
Heavenly Creatures,Peter Dasent,"Meryl Cronin,Brendan Devlin,Sue Franks,Jacqueline Gavin,Rob Gordon,Bev Hinchey,Dean Hudson,James Johnston,Erana Kennedy,Nigel Thomas Kerr,Ian McDonald,Mac McDonald,Mark McEntyre,Joyce Palmer,Maurice Quin,Jovanka Rarm,Christian Rivers,David Turner,Ken Turner,Ron Turner,Bodhi Vincent",Peter Jackson,"Bryce Campbell,John Hubbard,Ros Hubbard,Liz Mullane",,3,180.0,13.33.87.143,0.13768911361694336,8 September 1994,"Italy,Canada,USA,New Zealand,USA,Germany,Switzerland,Australia,UK,Netherlands,Italy,Spain,Brazil,Japan,Slovenia,Finland,Denmark,Argentina,France,Norway,Sweden,Hungary,Mexico,Australia,Hong Kong,Greece,Poland,USA,France"
