film,prod_team,dir_team,director,camera_team,prod_manage_team,depth,download_timeout,download_slot,download_latency,year,country
Broken Arrow,"Bill Badalato,Terence Chang,Joe Gareri,Christopher Godsick,Mark Gordon,Brad Lewis,Dwight H. Little,Michele Maples,Allison Lyon Segan","Marcei A. Brown,Douglas Dean III,Gary Hymes,Rocco Marra,Josh McLaglen,Douglas A. Raine,Matthew H. Rowland,David Ticotin,Angela C. Tortu,John R. Woodward",John Woo,"Steve Adcock,Lloyd Ahern II,Mike Amorelli,Scott Baker,Robby Baumgartner,Ben Beaird,Billy Beaird,Gary A. Beaird,Mike Benson,Erik Bernstein,Gene Black,Larry Blanford,Kirk Bloom,Carl Boles,Mike Bonnaud,Mike Brooker,Chuck Brown,Donald Burghardt,Christian H. Burton,Kyle Carden,Jesse Chavez,Tony Chiu,Don Chong,David Daunt,Bob Dunn,Brian Dzyak,John J. Ellingwood,Richard Foreman Jr.,Tammy Fouts,Mark Freeman,Paul Goodstein,Bill Greenberg,Gregg Guellow,Jay Hager,Brian Holechek,Herbert Hughes,Kent Hughes,Frederick Iannone,Allan Scott Jackson,Johnny Karls,Dean M. King,Jon Kranhouse,Tom Lamont,David L. Merrill,Chris R. Oliver,Frank Perl,Paul Rawson,Victor A. Shelehov,Gregory W. Smith,Sean Smith,Jerry Solomon,Michael St. Hilaire,John Stradling,Bill Summers,Jorge Sánchez,Ken Tosic,Neil Toussaint,John Trapman,Joseph F. Valentine,Mark Van Loon,Lance Wandling,Anthony Wong,Stephen Wong,William D. Wynn,R. Michael Yope,Wayne Baker,Luis G. Benavides,John Cluff,Billy Craft,Steve Craft,James 'Spud' Danicic,Michael Guthrie,Johnny Karls,Mark R. Leins,Michael McCormack,Todd McMullen,Paul Plannette",,3,180.0,13.33.87.143,0.11672115325927734,5 February 1996,"USA,USA,Germany,Turkey,Belgium,France,Switzerland,Poland,Sweden,Japan,Finland,Greece,Spain,Australia,Italy,Netherlands,Brazil,UK,Ireland,Norway,Argentina,Hungary,Hong Kong,Portugal,Denmark,South Korea,Philippines,Portugal"
The War of the Roses,"James L. Brooks,Doug Claybourne,Michael Leeson,Arnon Milchan,J. Marina Muhlfriedel,Polly Platt","Matt Bearson,Jeffrey M. Ellis,Lynda Gilman,Thomas Lofaro,Robert Rooy,Paul F. Schlichting",Danny DeVito,"Bob Apger,Norman Ash,Alan S. Blauvelt,Dustin Blauvelt,Neil S. Buckhantz,Doug Cook,James B. Crawford,Robert Dalva,Glen Davis,François Duhamel,George Dye,Brad Edmiston,Rick Favazzo,Domenic Giorgio,Jimmy Godber,Kim Guthrie,Clyde Hart,David Hennings,Steven C. Hodge,Casey Jones,Alfred E. Kalous,Michael Laws,Joe R. Marquette Jr.,Charles L. Morgan,Toby Phillips,Alex Skvorzov,Monte Swann,Frank Tobin,Rhett Wooden,Rick Fee,David Wayne,Scott C. Williman",,3,180.0,13.33.87.143,0.6766808032989502,4 December 1989,"USA,USA,USA,Australia,Peru,Taiwan,Argentina,West Germany,France,Greece,UK,Sweden,Brazil,Spain,Ireland,Netherlands,Denmark,Portugal,Finland,Hungary,Japan,Philippines,Turkey,South Korea"
Arachnophobia,"William S. Beasley,Robert W. Cort,Ted Field,Don Jakoby,Kathleen Kennedy,Frank Marshall,Steven Spielberg,Richard Vane,Daniel Vellucci","Bruce Cohen,David D'Ovidio,Luisa De La Ville,Steven Spielberg",Frank Marshall,"Rebecca Baehler,David Bartholomew,Alicia Brauns,Dwight Campbell,Jesse Chavez,Peter Clarson,Richmond G. Cogswell,Richard Foreman Jr.,Ian Fox,Jack Glenn,Adam Glick,Eric J. Goldstein,Henry Guerrero,Jorge Gutiérrez,Bobby Huber,Paul Iski,Ron Kunecke,Jimmy Leavens,Michael E. Little,Natalio Lorenzo,David Luckenbach,Ralph Nelson,Andy Ryan,Francisco Silva,Antonio Subero,Alfonso Vera,Christopher Duddy",,3,180.0,13.33.87.143,0.5577600002288818,18 July 1990,"USA,Argentina,Netherlands,Australia,UK,Ireland,Germany,Finland,Colombia,Denmark,Spain,Portugal,Hungary,Sweden,Turkey,Brazil,Japan,France,Greece"
Michael Collins,"Redmond Morris,Stephen Woolley","Paul Barnes,David Carrigan,Patrick Clayton,Daisy Cummins,Catherine Dunne,Noga Isackson,Christo Morse,Jim Gorman,Sean Griffin,Deirdre Mulrooney",Neil Jordan,"Alan Butler,John Carr,Dermot Coleman,Tom Collins,Louis Conroy,Noel Cullen,Shane Deasy,Bill Dowling,David Fitzgerald,Nicholas Fitzgerald,David Grennan,Noel Griffin,Oisín Kelly,Ian Madden,Terry Mulligan,John Murphy,Peter O'Toole,Mike Roberts,Peter Robertson,Des Troy,Simon Walsh,Garret Baldwin,John Connon,Noel Donnellon,Graeme Haughton,Larry Huston,William Louthe,Davey Mayes",,3,180.0,13.33.87.143,0.8045470714569092,28 August 1996,"Italy,Canada,USA,USA,Canada,USA,UK,Ireland,New Zealand,Italy,Australia,Denmark,Norway,South Korea,Spain,Portugal,Finland,South Africa,Poland,Sweden,Estonia,Czech Republic,Turkey,Japan,Singapore,Slovenia,Netherlands,Germany,Hungary,Austria,Argentina,France,Brazil,France,Greece,Australia"
Singles,"Richard Chew,Cameron Crowe,Kelly Curtis,Richard Hashimoto,Art Linson","Richard Chew,Michael-McCloud Thompson,Joel Wang,Jerry Ziesmer",Cameron Crowe,"Bob Calnan,Kerry Flanagan,Nathaniel Goodman,Jim Grce,Shawn Hise,Frank M. Holgate,Dwight Joseph Lavers,Robena Malicoat,John R. Manocchia,Bill O'Drobinak,Jane O'Neal,Neal Preston,Brian H. Reynolds,Joe Sanchez,Paul Taylor,Steve Venetis,Eric Budlong,Stephen Les",,3,180.0,13.33.87.143,0.19757914543151855,18 September 1992,"USA,Peru,Sweden,UK,Brazil,Argentina,Japan,Germany,Finland,France,Denmark,Netherlands,Australia,Portugal,Hungary,Turkey,Spain,Greece"
Baby's Day Out,"William S. Beasley,John Hughes,Bill Ryan,Richard Vane","Freddie Hice,Randy Suhr,Douglas E. Wise",Patrick Read Johnson,"Douglas L. Adam Jr.,Marsha Blackburn,Fernando M. Briones,Larry Cottrill,Terry Dee,Chris Freres,Linda Gacsko,Mark Gulbrandsen,Lawrence Hammer,Tom Holloway,George Kohut,David Moenkhaus,David L. Parrish,Mark Purkart,Ted Rhodes,John S. Robertson,Richard Sands,Steven Silverstein,Frank Yario Jr.,William Allen Jr.,Danial Miller,Mark N. Woods",,3,180.0,13.33.87.143,0.1844651699066162,  1994,"Russia,USA,South Korea,UK,Ireland,Spain,Portugal,Philippines,Germany,Netherlands,Sweden,France,Estonia,Colombia,Hungary,Australia,Denmark,Romania,Argentina,Brazil,Finland,Poland,Japan"
The Lover,"Claude Berri,Timothy Burrill,Jacques Tronel","Frédéric Auburtin,Isabelle Henry",Jean-Jacques Annaud,"Benoît Barbier,Tahar Boualam,David Campbell,Mario d'Orio,Gilles Floquet,Alain Herpe,Jean-Pierre Mas,Marc Nove,Didier Nové,Michele Picciaredda",,3,180.0,13.33.87.143,0.3869497776031494,22 January 1992,"France,Belgium,Turkey,Germany,Spain,Netherlands,Japan,Portugal,UK,South Korea,Denmark,Argentina,Ireland,Finland,Hungary,Sweden,Uruguay,USA,Brazil,Australia,Russia,Hong Kong"
"The Cook, the Thief, His Wife & Her Lover","Pascale Dauman,Kees Kasander,Daniel Toscan du Plantier,Denis Wigman","Marie Dominique Dhelsing,Milfid Ellis,Mark Harrison,Gerrit Martijn,Natasha Ross",Peter Greenaway,"Arthur Cloquet,Nils Dammers,Max Harrison,Nico Komen,Piotr Kukla,Martin McCullough,Chris Renson,Andy Saunders,Mel Scaffold,Benito Strangio,Reinier van Brummelen,Pieter Vermeer,Slawomir Zukowski",,3,180.0,13.33.87.143,0.10505127906799316,4 September 1989,"Italy,Canada,Spain,UK,France,Belgium,Greece,West Germany,Netherlands,Italy,Portugal,Australia,Portugal,USA,Denmark,Argentina,Sweden,Japan,Hong Kong,Canada,Taiwan,Hungary,Finland,Iceland,Peru,Turkey,Greece,Portugal,Sweden,Peru,Italy"
To Die For,"Joseph M. Caracciolo,Sandy Isaac,Leslie Morgan,Jonathan T. Taplin,Laura Ziskin","Roman Alexander Buchok,Tom Quinn,Michele Rakich,David Webb",Gus Van Sant,"Chris Alexander,Craig Bulmer,Kevan Dutchak,Steve Ferrier,Michael Galbraith,Michael Hall,Kerry Hayes,Perry Hoffman,Mark Manchester,Malcolm Nefsky,Tracy Shaw,Stephen Spurrell,David J. Woods,Gary Deneault,Shayne Hare,Ryan Pannell",,3,180.0,13.33.87.143,0.15661835670471191,20 May 1995,"France,Canada,Italy,Canada,USA,USA,Spain,UK,Ireland,Argentina,Portugal,France,Germany,Greece,Denmark,Finland,Sweden,Netherlands,South Korea,Australia,Turkey,Hong Kong,Brazil,Poland,Japan,Hungary,France"
Heavenly Creatures,"Jim Booth,Bridget Bourke,Hanno Huth,Peter Jackson","Carolynne Cunningham,Andrew Hampton,Emma Johns,Phee Phanshall",Peter Jackson,"Rick Allender,T.K. Bedford,Joe Bollinger,Solomon Bollinger,Adam Clark,James Creery,Gordon Fawcett,Allen Guilford,Graham Hall,Linda Halle,Sharon Hawke,John Mahaffie,Bary McGuinn,Hamish McIntyre,Brett Mills,Roger Norton,Reiner Schoenbrum,Brendan Shadbolt,Jeremy Tomkins,Gerry Vasbenter,Steve White,Pierre Vinet",,3,180.0,13.33.87.143,0.11370396614074707,8 September 1994,"Italy,Canada,USA,New Zealand,USA,Germany,Switzerland,Australia,UK,Netherlands,Italy,Spain,Brazil,Japan,Slovenia,Finland,Denmark,Argentina,France,Norway,Sweden,Hungary,Mexico,Australia,Hong Kong,Greece,Poland,USA,France"
Sleepless in Seattle,"Jane Bartelme,Patrick Crowley,Delia Ephron,Gary Foster,Lynda Obst,James W. Skotchdopole","Donald J. Lee Jr.,Maggie Murphy,James W. Skotchdopole",Nora Ephron,"Richmond L. Aguilar,Jack Bauer,Lucas Bielan,Paul Caven,Jeff Cronenweth,Foster K. Denker,Joe Hicks,Kevin Jewison,Gene Kearney,Bruce McBroom,Larry McConkey,Randy Nolen,Marty Oppenheimer,George Patsos,Paul Postelnicu,Darcy Spires,David Wagreich,William Ward,Adam Berman,Adam Glick,Neil Holcomb,Jon Kranhouse,Donald E. Lange,Lon Magdich,Michael Murray,David Norris,David Renken,Rick Strodel",,3,180.0,13.33.87.143,0.1094808578491211,25 June 1993,"USA,Australia,Germany,Finland,Denmark,UK,Ireland,Hong Kong,Italy,Sweden,Argentina,Hungary,Czech Republic,Spain,Turkey,France,Greece,Portugal,Brazil,Netherlands,Japan,South Korea,Estonia,Russia,UK,Ireland,South Korea"
Outbreak,"Stephen Joel Brown,Nana Greenwald,Duncan Henderson,Gail Katz,Anne Kopelson,Arnold Kopelson,Sanford Panitch,Wolfgang Petersen","Jan Sebastian Ballhaus,C.C. Barnes,Paula Case,Terence Ford,Duncan Henderson,Peter Kohn,John Rusk,Lisanne Sartor,Christina Stauffer,Buddy Van Horn",Wolfgang Petersen,"Florian Ballhaus,Richard Brooks Burton,Tom Cherry,J. Patrick Daily,Tony DiMase,Gary Dunham,David M. Dunlap,Mark Fragale,Scott Fuller,Harry K. Garvin,Mikael Glattes,Stanley L. Gonsales,Amy Hergoth,Rex Hiscocks,Dustin A. Huber,Kent H. Jorgensen,Gene Kearney,Michael Maguire,Michael Martinez,Michael McGuire,Charlie McIntyre,Mark Emery Moore,David B. Nowell,Bruce Pearn,John 'Fest' Sandau,Peter Sorel,Jeffrey Thorin,James R. Tynes,Mark Vargo,Tom West,Eric Whitehead,Andy Young,Barry Berona,Shane D. Kelly,Ron Kunecke,Kevin McNeil,Cricket Sloat",,3,180.0,13.33.87.143,0.7795813083648682,6 March 1995,"USA,USA,South Korea,Germany,Denmark,Finland,Taiwan,Australia,Brazil,Spain,Sweden,France,Italy,Netherlands,Ireland,Portugal,Philippines,UK,Norway,Poland,Japan,Argentina,Turkey,Hungary,Greece,Russia"
Edward Scissorhands,"Tim Burton,Denise Di Novi,Richard Hashimoto,Caroline Thompson","Francis J. Conway,Jerry Fleck,Margaret Nelson",Tim Burton,"John Carney,John F. Cassidy,David A. Cook,Kenny Davis,Tom Durkin,Brooks P. Guyer,Alfred E. Kalous,Tom Keefer,Ian Kelly,Richard Kuhn,Dennis J. Lootens,Barry T. Lopez,Frank Miller,Art Molinaro,Kevin Murphy,Mike Paleveda,Zade Rosenthal,Michael Santoro,Todd M. Short,Daniel E. Teaze,Robert Ulland,Zoran Veselic,Warner R. Wacha,Richard J. Lee Jr.,Troy Pressley,Scott Alan Reiniger,Bob Scott,Rob Whitehurst",,3,180.0,13.33.87.143,0.12756681442260742,6 December 1990,"USA,USA,USA,Argentina,Australia,France,Spain,Germany,Italy,Turkey,Portugal,Brazil,Hungary,South Korea,Denmark,Finland,Japan,UK,Ireland,Netherlands,Norway,Greece,Sweden,Colombia,Poland,Russia,Netherlands"
Robin Hood: Prince of Thieves,"Gary Barber,Pen Densham,Michael J. Kagan,Richard Barton Lewis,David Nicksay,James G. Robinson,Mark Stern,John Watson,Kevin Costner","Lee Cleary,Jamie Fowlds,Marios Hamboulides,Nick Heckstall-Smith,Peter Heslop,Mark Illsley,Max Kleven,Adam Somner,David Tringham",Kevin Reynolds,"Mike Brewster,Bob Bridges,Giles Christopher,Gary Cross,Mike Frift,W.C. 'Chunky' Huse,Wayne Leach,Alan Martin,Jason Martin,Franz Pagot,Caroline Sax,David Tondeur,John Ward,Carlos Melville",,3,180.0,13.33.87.143,0.2824273109436035,14 June 1991,"Canada,USA,Spain,Australia,Brazil,Finland,South Korea,Sweden,Peru,Philippines,UK,Ireland,Japan,France,Portugal,Netherlands,Denmark,Argentina,Germany,Poland,Turkey,Czechoslovakia,Hungary"
Life Is Beautiful,"Gianluigi Braschi,Mario Cotone,John M. Davis,Elda Ferri,Agnès Mentre,John Rogers","Gianni Arduini,Daniele Cama,Dan Edelstein,Giovanni Marino,Luigi Spoletini",Roberto Benigni,"Robert Bagala,Salvatore Bognanni,Roberto Brega,Aldo Colanzi,Marco Contaldo,Francesco Cotone,Roberto Cuccoli,Marco Cuzzupoli,Umberto Dessena,Claudio Frollano,Sergio Gabrielli,Aldo Galigani,Maurizio Galli,Simone Lucchetti,Adolfo Onorati,Marco Santarelli,Fabrizio Spadoni,Sergio Strizzi,Giovanni Tancredi,Massimo Tanfani,Marco Verginelli,Carlo Vinciguerra,Massimiliano Sardini",,3,180.0,13.33.87.143,0.11809015274047852,20 December 1997,"Italy,Romania,France,Canada,Greece,Canada,Canada,Belgium,Switzerland,France,USA,USA,Canada,Greece,Germany,Austria,Serbia,Netherlands,Finland,Norway,Australia,Slovenia,Portugal,Sweden,Iceland,Brazil,UK,USA,Argentina,Denmark,Spain,Turkey,Hong Kong,Colombia,New Zealand,South Korea,Iceland,Poland,Thailand,Czech Republic,Malaysia,Slovakia,Hungary,Japan,Estonia,Russia,USA,Taiwan,France"
The Sum of Us,"Rod Allan,Kevin Dowling,Hal Kessler,Hal McElroy,Donald Scatena,Errol Sullivan","Guy Campbell,Carolynne Cunningham,Henry Osborne","Geoff Burton,Kevin Dowling","Grant Atkinson,Robbie Burr,Leilani Hannah,David Hansen,Josie Keys,Kathryn Milliss,Jonny Pasvolsky,Ian Plummer,Jimmy Pozarik,Simon Quaife",,3,180.0,13.33.87.143,0.3791191577911377,12 July 1994,"Australia,Australia,Canada,Canada,USA,UK,USA,USA,Brazil,Spain,Colombia,Philippines"
Kai xin gui jing ling,,,Ho Wai Lau,,,3,180.0,13.33.87.143,0.1283869743347168,27 November 1986,"Hong Kong,Japan"
Yin ji,Ming Pao,Hsin Ouyang,Chiu Lee,,,3,180.0,13.33.87.143,0.12063407897949219,19 February 1982,"Hong Kong,USA"
Adima Changala,,,A.B. Raj,,,3,180.0,13.33.87.143,0.1728823184967041,,
Smoke 'Em If You Got 'Em,Jennifer Hooks,Jo Bell,Ray Boseley,"Andrew Cochrane,Mark Hanlin,Mark Lane,Andrew Taylor",,3,180.0,13.33.87.143,0.1882648468017578,11 September 1988,"Canada,Australia,Australia,Australia"
The 36 Deadly Styles,,,Joseph Kuo,,,3,180.0,13.33.87.143,0.15231943130493164,23 July 1982,West Germany
Golyamoto noshtno kapane,Ivan Petkov,"Roza Alizotova,Kosta Bikov,Vladimir Kraev",Binka Zhelyazkova,"Borislav Borozanov,Todor Costov,Georgi Mihaylov,Georgi Nochev,Damyanka Savova,Valentin Simov,Aleksandr Zlatev",,3,180.0,13.33.87.143,0.16080427169799805,1 December 1980,"Bulgaria,Hungary,Portugal"
Cyborg 009: Legend of the Super Galaxy,,,Masayuki Akehi,,,3,180.0,13.33.87.143,0.1287860870361328,20 December 1980,"Japan,USA,Switzerland,India,Republic of Macedonia,Canada"
Le café des Jules,Paul Vecchiali,Pierre Sénélas,Paul Vecchiali,Philippe Dorelli,,3,180.0,13.33.87.143,0.20632624626159668,May 1988,"France,France,Portugal,France"
