film,prod_team,dir_team,director,camera_team,prod_manage_team,depth,download_timeout,download_slot,download_latency,year,country
The Hunger Games: Mockingjay - Part 1,James Newton Howard,"Justin Allmett,Vincent Amelio,James Anthony,Ernie Avila,Adam L. Barker,Pedro Barquin,Cliff Battle,Edith Baudrand,Edward Bearden III,Katrin Bellingen,Roman Berger,Mark Bialuski,Marc Bitz,Simon Blanjoie,Wren Boney,Fabrice Bourderioux,Henning Brehm,Maxwell Britton,Rick Brondum,Dawn Brown,Elizabeth Brown,Jonathan Burdeshaw,Bobby Burks,Joanna Bush,Marco Böhm,Mathias Canard,Christopher Carlson,Sam Carter,Jeremiah Castleman,Loïc Chavanon,Rick Chavez,Pascal Chevé,Melanie S. Chretin,Po Sing Chu,Donald K. Cochran,Dana Corbett,Nane Cornelius,Kelton Cram,Stéphane Cressend,Jeffrey DeBell,Emmanuel Delis,Yann Denoual,John Dickenson,Michael Düwel,Jessica Echols,Kate Emery,Scot Erb,Ludovic Erbelding,Leon Fechner,Robert Fechtman,Mariano Fernandez,Max Fisher,Matthew Lee Flory,Gerard Forrest,Daniel B. Foster,Michael Fretwell,Eckart Friz,John Galbreath,Seth Gardner,Sara Gardner-Gail,Laurie Garner,Jens Gaube,Hank Giardina,Amy Giedraitis,Sonia Gloaguen,Cary Goen,William Gouinlock,Michael Gowen,Dierk Grahlow,Wylie Griffin,Séverine Guignard,Ludovic Guille,John Hair,Rob Hamby,Nicholas Hatfield,Todd Hatfield,Bryan Wilson Hembree,John Hemphill,Yannick Heuveline,Jim Hewitt,Russell Hightower,Julia Hill,Byron Hilton,Hannah M. Hinkel,Al Hobbs,Brita Hofmann,Aimee Holmberg,Dimitar Hristovich,Cindy Huggins,Margaret Hungerford,Jeff Tolley,Sean Ryan Jennings,Scott Johnson,Thibaut Josserand,Suzan Katcher,Rainer Kaufmann,Mark Keever,B. David King,Kate J. Kogelman,Roxy Konrad,Jared Krichevsky,Attila Krüziu,Fabian Lacey,Blade Ladish,David Ladish,Steven Ladish,Alphonse A. Lambert Jr.,Carolin Langenbahn,Lauri Lannan,Marion Le Borgne,Alice Leconte,George Lee,Amy Lehman,Devlin Lerew,Lucas Levon,E. Aaron Linker,Scott Lukowski,Sean Macomber,Michael C. Magno,Christine Mahuna,Robert Makolies,Régis Marduel,Garrett V. Martin,Karl J. Martin,Gregory H. Massey,Sergey Mazurov,Frank Mckeever,Jim Meyer,Justin O'Neal Miller,Joshua Min,Waylyn Morgan,Wayne Morgan,Samir Moundy,Daniel P. Murphy,Luca Nemolato,Joe Northrop,Pat Oldknow,Leonardo Pancari,Bora Petkova,Andrew Petrotta,Frank Pitussi,Raymond Prado,Jon Privett,Anna Ragghianti,Alex Ramey,Eric Ramirez,Stephanie Rass,Steffen Reichstadt,Dennis Richardson,Lothar Riedrich,Lisa 'Pike' Rincon,Mark Rosinski,T.J. Rottenberg,Bradley Rubin,Mary Saisselin,Chris Samp,Nathan Schroeder,Tobias Schroeter,Till Sennhenn,Trey Shaffer,Jeff Shewbert,Craig T. Shordon,Daniel F. Simmons,Brett C. Smith,Easton Smith,Lamont Snipes,Chris Snyder,Dale Snyder,Sarah Snyder,Tom Sola,Daniel Soltis,Eitan Sonnenberg,Steven Spelman,Douglas Stanley,Gemma Stratton,Michael Ann Swan,David Thummerer,James E. Tocci,Bruno Troadec,Tina Trottin,David Tye,Sean David Tyler,Luis Ulloa,Joe Voltolin,James Bryant Wactor,Frankie Walker,Amanda Ward,Chris Watson,David Mathew Weeks,John Weeks,Joseph Wick,Carsten Woithe,Jane Wuu,Robert Zavala,Michael Robert Zieper,Gunnar Zimmer,Uriel Zylberman,Derek J. Hawthorne,J.D. Jacoby,Nadin Meyer",Francis Lawrence,"Dannah Collins,Victor Glushchenko,Ben Goerlach,Catherine Mullan,Brett Rutland,Amy Sendon",,3,180.0,www.imdb.com,0.10492420196533203,"10 November 2014,19 November 2014,19 November 2014,19 November 2014,19 November 2014,19 November 2014,19 November 2014,19 November 2014,19 November 2014,19 November 2014,19 November 2014,19 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,20 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,21 November 2014,27 November 2014,27 November 2014,27 November 2014,27 November 2014,27 November 2014,28 November 2014,28 November 2014,28 November 2014,8 February 2015,5 June 2015","UK,Belgium,Brazil,Switzerland,Denmark,Finland,France,Indonesia,Luxembourg,Netherlands,Norway,Sweden,United Arab Emirates,Albania,Argentina,Australia,Azerbaijan,Bolivia,Switzerland,Switzerland,Chile,Colombia,Czech Republic,Germany,Egypt,Spain,UK,Greece,Hong Kong,Croatia,Hungary,Ireland,Israel,Iraq,Italy,Cambodia,South Korea,Kuwait,Kazakhstan,Lebanon,Republic of Macedonia,Mexico,Malaysia,New Zealand,Peru,Philippines,Portugal,Serbia,Russia,Singapore,Slovenia,Slovakia,Thailand,Ukraine,Uruguay,Austria,Bulgaria,Canada,Cyprus,Ecuador,Estonia,Iceland,Kenya,Lithuania,Latvia,Myanmar,Mongolia,Nigeria,Pakistan,Poland,Paraguay,Romania,Turkey,Taiwan,USA,Venezuela,Vietnam,South Africa,Costa Rica,Dominican Republic,Guatemala,Honduras,Nicaragua,India,Panama,El Salvador,China,Japan"
The Cloverfield Paradox,Bear McCreary,"Gustaf Aspegren,Cassandra Diaz Barriga,Jay K. Bedore,Mikey Brown,Clint Carney,Jeremy Cisneros,James Crain,Patrick Dunn-Baker,Bryan Eddy,Gregory M. Edgar,Andre Freimann,Jeff Frost,Jonathan Gesinski,Michael P. Hall,Jade Hamdan,Melissa Harrison,Joseph Hiura,Stephanie Kenny,Lizzy Jane Klein,Courtney Laine Koller,Fabian Lacey,David Ladish,Nancy Ann Lai,Ellen Lampl,Tammy S. Lee,Nathan Longest,Emily Marshall,Justin Slade McClain,Jason McDonough,John McElroy,Melissa McSorley,Paul Mugavero,Daniel P. Murphy,Paul Penley,Melani Petrushkin,Sara Philpott,Mike Piccirillo,Dennis Richardson,Josue Rodriguez,Rich Romig,Chris Samp,Chris Sanford,Scott Schneider,Nathan Schroeder,Andrew M. Siegel,Chris Snyder,Dale Snyder,Sarah Snyder,Tracy Stockwell,Joe Studzinski,Gregg Szabo,Michael Thurman,Joshua Viers,Jesse D. Vogel,C.L. Ward,Mark Weissenfluh,Anthony Winn,Mark Woodworth II,Ben Woodworth,Mark Yang,Philip Young,Fante Zamora,Evan Woolery",Julius Onah,Kevin Chua,,3,180.0,www.imdb.com,0.09496808052062988,"4 February 2018,4 February 2018,4 February 2018,5 February 2018,5 February 2018,5 February 2018,5 February 2018,5 February 2018,5 February 2018,5 February 2018,5 February 2018,5 February 2018,5 February 2018,5 February 2019","Australia,Turkey,USA,Brazil,Germany,Denmark,Spain,France,UK,Netherlands,Poland,Portugal,Singapore,USA"
The Amazing Spider-Man 2,"Michael Einziger,Junkie XL,Johnny Marr,Pharrell Williams,Hans Zimmer","David Abate,Glen Aldous,Joseph S. Alfieri,Maureen Angelos,Michael Auszura,Jonathan Bach,Stephen Barth,Jim Bauer,Eric Lewis Beauzay,Richard Bizenza,Daniel Boxer,Jason 'Jay' Brown,Michael Bruno,Adam Brustein,Raymond Burgess,Gabu Camilo,Candice Cardasis,Kai Wai Cheng,Matt Cleary,Daniel Cocuzzo,Marc Connor,Robert Consing,Francesco Corvino,Brian Cote,Johnathan Court,Sarah Crall,Kelton Cram,Tim Croshaw,Michael Davidson,Eric de Jesus,Ruby De Jesus,Eddie DeCurtis,Jody Del Giorno,Lauren Doner,Scott Dougan,Richard Bryan Douglas,Elizabeth Duby,Anthony Dunne,Brian Durham,Elizabeth Eggert,Michael Fails,Vincent Fellegara,John Ferrari,Kristen Ficara,Edwin M. Figueroa,Gerard Fiore,Henry Fong,Isaac Gabaeff,Wilson Gallego,Nicholas Gatto,Joey Genitempo,Kley Gilbuena,Rob Gillies,Harvey Goldberg,Jared Goldfeder,Max Grafe,Frank Grasso,Deborah Greene,Glen A. Gregory,John Grimolizzi,Bruce Lee Gross,Nicholas Guarriello,Tara Guckeen Bailey,Amanda Hagy,Sandy Hamilton,Justin Claus Harder,Alicia Haverland,Ryan Heck,Jesse Hegney,Julia Heymans,Gregory Hill,Arlo Hoffman,Erica Hohf,William J. Hopper,Lee Howard,Martin Jaksa,Malchus Janocko,J. Antonio Jimenez,Christopher Kay,Stacey Keffer,John Michael Kehoe,Tina Khayat,Drew King,Noelle King,James Klotsas,Daniel Klöhn,Brian Kontz,Jared Krichevsky,Michael Kutsche,Maddy Lederman,Imogen Lee,Donald Leone,Peter Levitsky,Jason Logerot,Josh Logerot,Daniel Lowry,Shaun Lowry,Scott Lukowski,Kris Major,Victor Marrone,Jay Martin,Jason Marzano,Brick Mason,Ben Mauro,Matthew Mazzola,Dave McAllister,James H. McDonnell,Kathryn C. McGinnis,Joshua Min,Stephen Morahan,Danny Nallan,Shannon Nallan,Sara Naparstek,Anthony O.H. Navarro,Rachel Nemec,Luca Nemolato,Genevieve Nicholas,Jennifer Alex Nickason,Valerie Nolan,Brian O'Neill,Long Ouyang,Jessica Panuccio,Justin Paul,Christian Pearce,Timothy Peel,Jessie Pellegrino,Douglas Poland,Mark Pollard,Reginald Polynice,Michael Powsner,Steffen Reichstadt,Elicia Riggs,John Roche,Sam Rosedietcher,Christopher Rovira,Billy T Ryan,Joseph Sacco,Matthew Jeffrey Sama,Ernie Sandidge,Valerie Scoppa-Misarti,Zach Selter,Diana Shaller,Darren Sharkey,Emmanuel Shiu,Hugh Sicotte,Robert O. Simons,Aaron Sims,Mark Skversky,Marcus Slabine,David Stein,Gillian Stoneburner,Matt Stonish,Maki Takenouchi,Gordon Tanner,Joseph Michael Tenga,Mike Thompson,Mike Trainor,Marisa Umsawasdi,Joel Weaver,Ryan Webb,Kerry Weeks,James Wendelken,James Whelan,Tim Zydel,William Depaolo,Jana Liptak,Chris Schait,Duncan Smith,Ash Thorp",Marc Webb,"Kristin Aasen,Mike Beaulieu,Joshua Beveridge,Wesley Chandler,Mike Dharney,Chad Ellis,Avner Engel,Martín Esnaola,Scott Guppy,Meena Ibrahim,Sebastian Kapijimpanga,Michael Kimmel,Julius Kwan,Nick Lyons,Dave Mah,Agata Matuszak,Chris McGaw,Jeff Panko,Eddie Prickett,Josh Riley,In-Ah Roediger,Byron Slaybaugh,Richard Smith,Alexander Snow,Anand Somasundaran,Richard Spriggs,Nick Starcevic,Glen Sylvester,Nathan Thomas,Zachary Torok,Carolyn Vale,Roger Vizard,James R. Ward,Kevin Webb,Phan Wiantrakoon,Nicholas Wickman,Timothy Williams,Greg Berridge",,3,180.0,www.imdb.com,0.12292194366455078,"10 April 2014,11 April 2014,14 April 2014,15 April 2014,16 April 2014,16 April 2014,16 April 2014,16 April 2014,16 April 2014,17 April 2014,17 April 2014,17 April 2014,17 April 2014,17 April 2014,17 April 2014,17 April 2014,17 April 2014,17 April 2014,17 April 2014,17 April 2014,18 April 2014,18 April 2014,21 April 2014,23 April 2014,23 April 2014,23 April 2014,24 April 2014,24 April 2014,24 April 2014,24 April 2014,24 April 2014,24 April 2014,24 April 2014,24 April 2014,24 April 2014,24 April 2014,24 April 2014,24 April 2014,24 April 2014,24 April 2014,24 April 2014,25 April 2014,25 April 2014,25 April 2014,25 April 2014,25 April 2014,25 April 2014,25 April 2014,25 April 2014,25 April 2014,25 April 2014,25 April 2014,30 April 2014,30 April 2014,30 April 2014,30 April 2014,30 April 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,1 May 2014,2 May 2014,2 May 2014,2 May 2014,2 May 2014,2 May 2014,2 May 2014,2 May 2014,2 May 2014,2 May 2014,2 May 2014,2 May 2014,4 May 2014,8 May 2014,30 October 2016","UK,France,Italy,Germany,Belgium,UK,Ireland,Japan,Russia,Austria,Australia,Switzerland,Germany,Denmark,Spain,Israel,Mexico,New Zealand,Portugal,Uruguay,Bulgaria,Sweden,Poland,Switzerland,Italy,Taiwan,Argentina,Bolivia,Czech Republic,Dominican Republic,Georgia,Croatia,South Korea,Kazakhstan,Republic of Macedonia,Netherlands,Serbia,Russia,Slovenia,Ukraine,USA,Ecuador,Estonia,Finland,Iceland,Japan,Lithuania,Latvia,Norway,Turkey,Venezuela,South Africa,Switzerland,France,Indonesia,Philippines,Trinidad and Tobago,United Arab Emirates,Aruba,Bahrain,Brazil,Chile,Colombia,Costa Rica,Greece,Guatemala,Hong Kong,Honduras,Hungary,India,Iraq,Jordan,Kuwait,Lebanon,Malaysia,Oman,Panama,Peru,Pakistan,Qatar,Singapore,Slovakia,El Salvador,Syria,Thailand,Bangladesh,Canada,Egypt,Ethiopia,Jamaica,Kenya,Sri Lanka,Nigeria,Romania,USA,Vietnam,China,Cambodia,Japan"
Toy Story 3,Randy Newman,,Lee Unkrich,"Mahyar Abousaeedi,Paul Aichele,Simon Allen,Lindsay Andrus,Josh Anon,Carlos Baena,Jason Bickerstaff,Adam Burke,Andrew Cadelago,Shaun Chacko,Guillaume Chartier,Simon Christen,Scott Clark,Brett Coderre,Jonathen Collins,Don Crum,Eric S. Degner,Arik Ehle,Ike Feldman,Tom Gately,Curran W. Giddens,Andrew Gordon,Sylvia Gray Wong,Andy Grisdale,Mark C. Harris,Aaron J. Hartline,Neil Helm,Catherine Hicks,Timothy Hittle,Tsung-Yin Hsieh,Guilherme Sauerbronn Jacinto,Patrick James,Nancy Kato,Jason Katz,Patty Kihm,Jae Hyung Kim,Ken Kim,Aaron Koressel,Todd Krish,Stephen Krug,Michael Krummhoefener,Bruce Kuei,Matthew Luhn,Angus MacLane,Austin Madison,Matt Majers,Michal Makarewicz,Jesus Martinez,Rich McKain,Victor Navone,Dan Nguyen,Neth Nom,David Park,Sukwon Park,Mark Piretti,Bobby Podesta,Evan Pontoriero,Andreas Procopiou,Rich Quade,Arun Rao,James Reinhart Robertson,Jaime Landes Roe,K.C. Roeyer,Christian Roman,Nickolas Rosario,Robert H. Russ,Allison Rutland,Max Sachar,Mark Sanford,Andrew L. Schmidt,Brett Schulz,Bob Scott,Doug Sheppeck,Suzanne Slatcher,Terry Song,Michael Stocker,Matthew Strangio,Benjamin Su,Raphael Suter,Rob Duquette Thompson,Brian Tindall,Jessica Torres,Becki Tower,Saschka Unseld,Michael Venturini,Kristoff Vergne,Carlo Vogele,Charlene Wang,Bastian Wartenberg,Royce Wesley,Anthony Ho Wong,Stephen L. Wong,Justin Wright,Tom Zach",,3,180.0,www.imdb.com,0.09134101867675781,"12 June 2010,15 June 2010,16 June 2010,16 June 2010,16 June 2010,16 June 2010,17 June 2010,17 June 2010,17 June 2010,17 June 2010,17 June 2010,17 June 2010,17 June 2010,17 June 2010,17 June 2010,17 June 2010,18 June 2010,18 June 2010,18 June 2010,18 June 2010,18 June 2010,18 June 2010,18 June 2010,18 June 2010,18 June 2010,18 June 2010,18 June 2010,18 June 2010,18 June 2010,21 June 2010,23 June 2010,24 June 2010,24 June 2010,24 June 2010,24 June 2010,25 June 2010,25 June 2010,1 July 2010,1 July 2010,2 July 2010,7 July 2010,8 July 2010,9 July 2010,10 July 2010,14 July 2010,14 July 2010,15 July 2010,16 July 2010,19 July 2010,19 July 2010,23 July 2010,28 July 2010,29 July 2010,29 July 2010,29 July 2010,29 July 2010,5 August 2010,16 August 2010,16 August 2010,16 August 2010,16 August 2010,16 August 2010,19 August 2010,26 August 2010,27 August 2010,27 August 2010,27 August 2010,17 September 2010,22 October 2010","Italy,Argentina,China,Egypt,Iceland,Taiwan,Argentina,Czech Republic,Hungary,Israel,Malaysia,Peru,Philippines,Russia,Singapore,USA,Bulgaria,Brazil,Canada,Colombia,Indonesia,Kazakhstan,Mexico,Panama,Poland,Romania,USA,Uruguay,Venezuela,UK,Netherlands,Australia,Greece,Kuwait,Ukraine,India,Vietnam,New Zealand,Syria,Turkey,Italy,Croatia,Lithuania,Japan,Switzerland,France,Hong Kong,Estonia,UK,Ireland,Spain,Belgium,Austria,Switzerland,Germany,Portugal,South Korea,Armenia,Bangladesh,Sri Lanka,Oman,Trinidad and Tobago,Slovakia,Denmark,Finland,Norway,Sweden,Georgia,Pakistan"
Drive,Newton Thomas Sigel,"Julie Altus,Lon Bender,Sean Byrnes,Kerry Carmean-Williams,Krissopher Chevannes,Robert Eber,Scott Edelson,Victor Ray Ennis,Robert Fernandez,Paul Hackner,Catherine Harper,Dan Korintus,Darrin Mann,Christopher Moriana,Dave Paterson,David Pringle,Dean St. John,Greg Steele,Paul Stula,John C. Stuver,Damian Volpe,Paul Yurt,Greg Zimmerman,Peter Zinda",Nicolas Winding Refn,"Gretchen Cayman,Michael Eisenhower,Katy Johnson,Lindsay McKay,Mustapha Mimis,Jean Rosone,Sarah Springer",,3,180.0,www.imdb.com,0.13729405403137207,"20 May 2011,17 June 2011,6 August 2011,13 August 2011,3 September 2011,10 September 2011,10 September 2011,15 September 2011,15 September 2011,15 September 2011,16 September 2011,16 September 2011,16 September 2011,16 September 2011,16 September 2011,16 September 2011,17 September 2011,22 September 2011,23 September 2011,23 September 2011,24 September 2011,30 September 2011,30 September 2011,5 October 2011,6 October 2011,7 October 2011,11 October 2011,15 October 2011,21 October 2011,21 October 2011,27 October 2011,2 November 2011,2 November 2011,3 November 2011,3 November 2011,3 November 2011,3 November 2011,9 November 2011,10 November 2011,11 November 2011,12 November 2011,17 November 2011,18 November 2011,8 December 2011,8 December 2011,9 December 2011,28 December 2011,26 January 2012,27 January 2012,10 February 2012,26 February 2012,1 March 2012,1 March 2012,2 March 2012,31 March 2012,3 May 2012,3 May 2012,17 May 2012,18 May 2012","France,USA,Switzerland,UK,France,Canada,France,Denmark,Croatia,Hungary,Bulgaria,Canada,Finland,Poland,Romania,USA,Greece,Greece,UK,Ireland,Spain,India,Italy,France,Brazil,Finland,Russia,Spain,Estonia,Norway,Australia,Belgium,Netherlands,Israel,Netherlands,Russia,Singapore,Philippines,Hong Kong,Sweden,Spain,South Korea,Sweden,Indonesia,Portugal,Lithuania,Spain,Germany,Mexico,Turkey,Serbia,Argentina,Serbia,Brazil,Japan,Chile,Kuwait,Peru,Uruguay"
Gosnell: The Trial of America's Biggest Serial Killer,,Nathan Gardocki,Nick Searcy,Sean Williams,,3,180.0,www.imdb.com,0.38359498977661133,12 October 2018,USA
Nobody's Fool,Richard J. Vialet,"Aaron 'Cujo' Cooley,Noyan Cosarer,Matt Derber,Joe Elfanbaum,Jay Fisher,Marc Fishman,Judah Getz,Adam Jenkins,David Jobe,Alexander Lowe,Michael D. Wilhoit",Tyler Perry,"Derron Cherry,Monique Walke",,3,180.0,www.imdb.com,0.1333329677581787,"31 October 2018,31 October 2018,31 October 2018,2 November 2018,2 November 2018,2 November 2018,2 November 2018,23 November 2018,23 November 2018,6 December 2018,17 January 2019,21 February 2019,21 February 2019,25 February 2019,13 March 2019,10 April 2019","Egypt,Spain,Trinidad and Tobago,Canada,Italy,USA,South Africa,UK,Ireland,Australia,Netherlands,Austria,Germany,France,New Zealand,Japan"
Whiplash,Justin Hurwitz,"Annie Brandt,Patrick Butcher,Brian Chapman,Jeremy Cisneros,Catherine Devaney,Tim Dodge,Zak Faust,Bob Fox,Lianir Lopez,Chris Maxson,Carli Moloney,Glenda Mullins,Drew Rebelein,Nicole Ruby,Scott Shauger,Katie Singleton,Sandra Skora,Jason Klinger,Michael Luce,Thibault Pelletier,Prentice Randolph,Alan Tanner",Damien Chazelle,"Barbara Harris,Sarah Domeier Lindo,Heather Sirota,Andrew Stubblefield",,3,180.0,www.imdb.com,0.158890962600708,"16 January 2014,20 May 2014,8 September 2014,11 September 2014,18 September 2014,18 September 2014,19 September 2014,19 September 2014,20 September 2014,23 September 2014,24 September 2014,25 September 2014,27 September 2014,28 September 2014,29 September 2014,1 October 2014,4 October 2014,7 October 2014,10 October 2014,10 October 2014,10 October 2014,10 October 2014,11 October 2014,15 October 2014,15 October 2014,15 October 2014,16 October 2014,16 October 2014,17 October 2014,18 October 2014,18 October 2014,19 October 2014,21 October 2014,23 October 2014,23 October 2014,23 October 2014,23 October 2014,24 October 2014,29 October 2014,30 October 2014,30 October 2014,31 October 2014,1 November 2014,1 November 2014,4 November 2014,10 November 2014,10 November 2014,12 November 2014,13 November 2014,16 November 2014,22 November 2014,23 November 2014,29 November 2014,3 December 2014,12 December 2014,13 December 2014,24 December 2014,24 December 2014,2 January 2015,2 January 2015,8 January 2015,9 January 2015,9 January 2015,15 January 2015,16 January 2015,16 January 2015,16 January 2015,16 January 2015,20 January 2015,22 January 2015,22 January 2015,22 January 2015,22 January 2015,22 January 2015,23 January 2015,23 January 2015,29 January 2015,29 January 2015,30 January 2015,5 February 2015,5 February 2015,6 February 2015,6 February 2015,12 February 2015,12 February 2015,12 February 2015,13 February 2015,18 February 2015,19 February 2015,19 February 2015,19 February 2015,19 February 2015,20 February 2015,20 February 2015,28 February 2015,12 March 2015,17 April 2015,19 April 2015,29 July 2016","USA,France,Canada,France,Finland,Republic of Macedonia,Hong Kong,Hungary,Canada,Greece,Norway,Brazil,Germany,USA,Canada,Switzerland,South Korea,USA,Canada,USA,USA,USA,Turkey,Belgium,UK,Philippines,Hong Kong,Israel,Israel,Mexico,Thailand,Spain,Poland,Australia,Chile,New Zealand,Russia,Canada,USA,United Arab Emirates,Thailand,USA,Canada,Netherlands,Austria,France,Sweden,Slovenia,Netherlands,Taiwan,Estonia,Italy,USA,Spain,Latvia,Sweden,Switzerland,France,Lithuania,Poland,Brazil,Estonia,Norway,Singapore,Spain,UK,Ireland,Turkey,Croatia,Albania,Argentina,Republic of Macedonia,Slovenia,Ukraine,Finland,Mexico,Czech Republic,Portugal,Taiwan,Greece,Hungary,Romania,Sweden,Chile,Italy,Peru,Venezuela,Belgium,Switzerland,Germany,Denmark,Kuwait,India,South Africa,Serbia,South Korea,Japan,China,Japan"
Creed II,Ludwig Göransson,"David D. Baumann,Robert Fritz,Alison Froling,Dan Giaquinto,Emilie Grossman,Josh Hadley,Damien Harrer,Samantha Higgins,Mallory Holloway,Kevin Isenberg,Dave Kellom,Paul Maiello,Brick Mason,Amy Morrison,Omar Nadir,Christopher Redmond,Charles J. Scott,Adrian Segura,Duncan Smith,Tek J. Smith,Billy Stearne,Kia Steave-Dickerson,C.L. Ward",Steven Caple Jr.,Ezra Waddell,,3,180.0,www.imdb.com,0.08476424217224121,"14 November 2018,21 November 2018,21 November 2018,22 November 2018,22 November 2018,22 November 2018,23 November 2018,23 November 2018,23 November 2018,23 November 2018,23 November 2018,28 November 2018,28 November 2018,29 November 2018,29 November 2018,29 November 2018,29 November 2018,29 November 2018,30 November 2018,30 November 2018,30 November 2018,7 December 2018,20 December 2018,27 December 2018,1 January 2019,3 January 2019,4 January 2019,4 January 2019,9 January 2019,9 January 2019,10 January 2019,10 January 2019,10 January 2019,11 January 2019,11 January 2019,17 January 2019,24 January 2019,24 January 2019,24 January 2019,24 January 2019,24 January 2019,25 January 2019,31 January 2019,21 February 2019","USA,Canada,USA,Czech Republic,Israel,Slovakia,Bulgaria,Finland,Poland,Romania,Sweden,Indonesia,Philippines,Australia,Greece,Kuwait,Lebanon,Singapore,UK,Ireland,South Africa,Norway,Denmark,Portugal,Mexico,Hungary,China,Estonia,Belgium,France,Georgia,Netherlands,Russia,Japan,Turkey,Argentina,Brazil,Colombia,Germany,Italy,Peru,Spain,Hong Kong,South Korea"
Faster,Michael Grady,"Odin Benitez,Jason Brennan,Don Coufal,Rob Embrey,Michael Ferdie,Aaron J. Green,Adam Horley,Marti D. Humphrey,Chris M. Jacobson,Devin Joseph,Ben Lazarus,Larry Mann,James Moriana,Chris Navarro,Myron Nettinga,Brad North,David Obermeyer,Paul D. Poduska,Pernell L. Salinas,Brian Seagrave,Walter Spencer,Bruce Stambler,Andrii Trifonov,Brett Voss,Ben Whitver,Jeffrey Wilhoit",George Tillman Jr.,"Gala Autumn,Paul Black,Ruben D. Calderon,Steve Constancio,Gia Jimenez,Glenn Gregory Krah,Robert Mata,Erich A. Muller,Dalhia Schuette",,3,180.0,www.imdb.com,0.1270129680633545,"24 November 2010,24 November 2010,1 December 2010,1 December 2010,1 December 2010,1 December 2010,2 December 2010,2 December 2010,2 December 2010,2 December 2010,2 December 2010,2 December 2010,2 December 2010,2 December 2010,2 December 2010,2 December 2010,3 December 2010,3 December 2010,3 December 2010,3 December 2010,3 December 2010,3 December 2010,10 December 2010,10 December 2010,10 December 2010,24 December 2010,24 December 2010,30 December 2010,7 January 2011,12 January 2011,13 January 2011,14 January 2011,14 January 2011,27 January 2011,27 January 2011,4 February 2011,11 February 2011,11 February 2011,16 February 2011,17 February 2011,24 February 2011,24 February 2011,24 February 2011,25 February 2011,2 March 2011,2 March 2011,3 March 2011,10 March 2011,17 March 2011,25 March 2011,25 March 2011,31 March 2011,7 April 2011,8 April 2011,21 May 2011,21 June 2011,13 July 2011,1 August 2011","Canada,USA,Egypt,Jamaica,Jordan,Trinidad and Tobago,United Arab Emirates,Aruba,Bahrain,Czech Republic,Kuwait,Lebanon,Oman,Qatar,Romania,Syria,Bulgaria,Estonia,Ethiopia,Iceland,Latvia,South Africa,India,Lithuania,Vietnam,Ghana,Nigeria,Dominican Republic,Brazil,Indonesia,Malaysia,Colombia,Pakistan,Australia,Hungary,Panama,Spain,Norway,Belgium,Bolivia,Peru,Portugal,Thailand,Mexico,France,Philippines,Israel,Denmark,Germany,UK,Ireland,Singapore,Croatia,Italy,Japan,Poland,Sweden,Argentina"
